id,type,genres,average_rating,num_votes,is_adult
294,movie,"Horror,Thriller",3.9,1156,False
295,movie,"Drama,Romance",5.4,164,False
296,movie,"Horror,Mystery,Thriller",5.5,31596,False
297,movie,"Drama,Romance",6.5,21994,False
298,movie,"Action,Thriller",5.1,2448,False
299,movie,Drama,6.5,3227,False
300,short,"Mystery,Short,Thriller",9.2,11,False
301,movie,"Adventure,Drama,Sci-Fi",6.3,221,False
302,tvEpisode,"Action,Drama,Horror",6.8,918,False
303,movie,"Drama,History,War",6.5,8369,False
304,movie,"Drama,Romance",6.8,374,False
305,movie,"Drama,Thriller",6.4,78268,False
306,video,"Action,Adventure,Animation",5.1,899,False
307,movie,"Documentary,Sport",7.9,5277,False
308,movie,Documentary,5.9,934,False
309,movie,"Action,Animation,Crime",6.5,4961,False
310,movie,"Comedy,Romance",5.7,541,False
311,tvSeries,"Drama,Fantasy",6.3,2070,False
312,movie,Romance,6.7,332,False
313,movie,"Crime,Documentary",6.9,21819,False
314,movie,"Documentary,History,Music",7.4,563,False
315,movie,"Drama,Romance",5.2,3887,False
316,movie,"Comedy,Drama,Romance",5.3,269,False
317,movie,"Action,Comedy,Drama",7.5,7249,False
318,movie,"Drama,Sport",5.9,3761,False
319,movie,Documentary,5.8,1702,False
320,movie,"Action,Thriller",6.2,72166,False
321,tvEpisode,"Comedy,Talk-Show",4.6,5,False
322,movie,Drama,8.3,1079852,False
323,movie,Documentary,7.3,531,False
324,movie,Documentary,7.4,18410,False
325,short,"Documentary,Short",5.2,240,False
326,movie,Thriller,5.9,3176,False
327,movie,"Action,Crime,Drama",5.0,16389,False
328,movie,Drama,8.5,1044729,False
329,movie,"Adventure,Drama,Romance",7.0,39174,False
330,movie,"Crime,Documentary",7.2,19906,False
331,tvSeries,"Action,Drama,Thriller",7.3,5938,False
332,movie,"Comedy,Crime,Drama",7.6,501488,False
333,movie,Drama,5.7,6348,False
334,tvSpecial,Comedy,7.1,191,False
335,movie,"Fantasy,Musical",6.7,189,False
336,movie,"Biography,Documentary,Music",7.8,49142,False
337,short,"Comedy,Drama,Short",7.0,72,False
